01;Monitor;Gaming Monitor;300;10;"Size: 27 inches";"Resolution: 2560x1440";"Refresh Rate: 144Hz";"Response Time: 1ms";"Panel Type: IPS";
02;Monitor;Office Monitor;150;20;"Size: 24 inches";"Resolution: 1920x1080";"Refresh Rate: 60Hz";"Response Time: 5ms";"Panel Type: TN";
03;Monitor;Ultrawide Monitor;400;8;"Size: 34 inches";"Resolution: 3440x1440";"Refresh Rate: 100Hz";"Response Time: 4ms";"Panel Type: VA";
04;Monitor;Curved Monitor;350;12;"Size: 32 inches";"Resolution: 2560x1440";"Refresh Rate: 75Hz";"Response Time: 3ms";"Panel Type: Curved IPS";
05;Monitor;4K Monitor;500;6;"Size: 28 inches";"Resolution: 3840x2160";"Refresh Rate: 60Hz";"Response Time: 1ms";"Panel Type: OLED";
06;Monitor;Dual Monitor Setup;600;5;"Size: 2x 22 inches";"Resolution: 1920x1080";"Refresh Rate: 75Hz";"Response Time: 5ms";"Panel Type: IPS";
07;Monitor;HDR Monitor;450;9;"Size: 30 inches";"Resolution: 2560x1600";"Refresh Rate: 120Hz";"Response Time: 2ms";"Panel Type: HDR10";
08;Monitor;Touchscreen Monitor;350;15;"Size: 21 inches";"Resolution: 1920x1080";"Refresh Rate: 60Hz";"Response Time: 6ms";"Panel Type: Capacitive Touch";
09;Monitor;Portable Monitor;200;18;"Size: 15.6 inches";"Resolution: 1920x1080";"Refresh Rate: 60Hz";"Response Time: 4ms";"Panel Type: IPS";
10;Monitor;Studio Monitor;700;7;"Size: 32 inches";"Resolution: 4096x2160";"Refresh Rate: 120Hz";"Response Time: 1ms";"Panel Type: OLED";
